FileName,MaxPrice,Month,MatPrice
UO-001A-01-2020 Eixos do B-9409..xls,410.0,January,410.0
UO-002A-01-2020 Eixo do B-1101 A.xls,850.0,January,850.0
UO-003A-01-2020 Recuperação dos eixos Laterais da Penerira..xls,220.0,January,220.0
UO-004-01-2020 Redução em Aço ASTM A105.xls,130.0,January,0.0
UO-005-01-2020 Serviço em Partes das Peças GA-4207.xls,557.4,January,557.4
UO-006-01-2020 Serviço em Partes das Peças GA-1216.xls,250.0,January,250.0
UO-007-01-2020 Plugs conicos em inox TAG P-1307A.xls,364.5,January,364.5
UO-008-01-2020 Serviço em Partes das Peças GA-4115 S.xls,924.4,January,924.4
UO-009-01-2020 Calços para base Metalica TAG C-0151.xls,6562.4,January,6562.4
UO-009-01-2020 Calços para base Metálica TAG C-0151 rev01..xls,5619.17,January,5619.17
UO-010-01-2020 Cx de selagem e Rotor TAG B-1403 B.xls,491.5,January,491.5
UO-0101A-04-2020 Anel espaçador LC-55004..xls,70.0,April,70.0
UO-011-01-2020 Serviço em Aneis Gbox..xls,71.05,January,0.0
UO-012-01-2020 Serviço em bucha em inox A-2103-O..xls,1615.9,January,1615.9
UO-0122A-05-2020 Bucha de bloqueio da Válvula da GA -5242..xls,169.0,May,169.0
UO-0123A-05-2020 Bucha de bloqueio da Válvula da GA -2316..xls,35.0,May,35.0
UO-0124A-05-2020 Prisioneiros TAG Y-7301.xls,278.0,May,278.0
UO-0127A-05-2020 Arruelas lisas para Dosador rev01.xls,58.13,May,50.0
UO-0127A-05-2020 Arruelas lisas para Dosador.xls,120.0,May,120.0
UO-013-01-2020 Serviço em luva TAG B-9001-C..xls,32.29,January,0.0
UO-0130A-05-2020 Bucha de bloqueio da Válvula da UAII-2350.xls,250.0,May,250.0
UO-0131A-05-2020 Serviço em acoplamento TAGs GAM-1907 B e GAR-1907 B.xls,32.29,May,0.0
UO-0132A-05-2020 Serviço em Partes da GA-5108 S.xls,568.8,May,568.8
UO-0133A-05-2020 Serviço em Partes da GA-1020 A.xls,4416.4,May,4416.4
UO-0134A-05-2020 Bucha de bloqueio da Válvula da UAII-2350.xls,250.0,May,250.0
UO-0135A-05-2020 Conjuntos de Peças do TAG TG-5301D.xls,906.7,May,906.7
UO-0136A-05-2020 Rodalna da Ponte Peças do TAG TG-5301D.xls,1106.0,May,1106.0
UO-0136A-05-2020 Roldana da Ponte Peças do TAG PR-4302.xls,1106.0,May,1106.0
UO-0137A-05-2020 Serviço em engrenagem de acionamento TAG RV-101.xls,32.29,May,0.0
UO-0138A-05-2020 Serviço em Partes das Peças TAG GAM e GBM-1900 A.xls,105.0,May,105.0
UO-0139A-05-2020 Bases da GAM-5301 S.xls,395.0,May,395.0
UO-014-01-2020 Serviço em Voluta TAG B-1101-B rev01..xls,1020.0,January,1020.0
UO-014-01-2020 Serviço em Voluta TAG B-1101-B..xls,32.29,January,0.0
UO-0140A-05-2020 Bucha de bloqueio da Válvula da FV -24038.xls,240.0,May,240.0
UO-0141A-05-2020 Bucha de bloqueio da Válvula da EA-5266.xls,385.0,May,385.0
UO-015-01-2020 Serviço em Partes das peças da GA-1422 S..xls,2265.4,January,2265.4
UO-0154A-06-2020 Buchas de bloqueio da Válvula da SV-20227.xls,93.0,June,93.0
UO-0155A-06-2020 Bases da Bomba da torre de refrigeração..xls,455.0,June,455.0
UO-0156A-06-2020 Bucha do Volante da GAT-4101B..xls,533.0,June,533.0
UO-0159A-06-2020 Buchas de bloqueio da Válvula da FB-9951-9952.xls,177.6,June,177.6
UO-016-01-2020 Serviço em Partes das peças da B-5301 B4..xls,40.0,January,40.0
UO-016-01-2020 Serviço em Partes das peças da RDSPTR-5301 B4 REV01..xls,140.0,January,140.0
UO-0160A-06-2020 Buchas de bloqueio da Válvula da FB-551.xls,177.6,June,177.6
UO-0161A-06-2020 Buchas de bloqueio da Válvula da FB-973.xls,199.8,June,199.8
UO-0162A-06-2020 Buchas de bloqueio da Válvula da GA-572.xls,77.0,June,77.0
UO-0163A-06-2020 Buchas de bloqueio da Válvula da GA-101SS.xls,32.29,June,31.0
UO-0164A-06-2020 Buchas de bloqueio da Válvula da FD-2301.xls,337.6,June,337.6
UO-0165A-06-2020 Serviço em partes das peças da SPTR-5301 B2.xls,12610.0,June,12610.0
UO-017A-01-2020 Discos em inox 301 DN 210 REV01..xls,4502.2,January,4502.2
UO-017A-01-2020 Discos em inox 301 DN 210 REV02..xls,3936.2,January,3936.2
UO-017A-01-2020 Discos em inox 301 DN 210..xls,3006.52,January,3006.52
UO-018A-01-2020 Serviço em Partes das peças da GA-1406..xls,592.0,January,592.0
UO-019A-01-2020 Acoplamento da GAM-956 S..xls,224.0,January,224.0
